sig,chainHash,channel_id,timestamp,message_flags,channel_flags,time_lock_delta,htlc_minimum_msat,base_fee,fee_late,htlc_maximum_msat
null,null,6128,39073167,null,0,144,1000,1000,1,99647
null,null,12913,39096550,null,0,40,1000,0,0,98914
null,null,24681,39193733,null,0,40,1000,0,0,99062
null,null,6284,39194811,null,0,144,1000,1000,1,102522
null,null,11006,39228939,null,0,40,1000,1000,1,101020
null,null,24801,39230624,null,0,40,1000,0,0,99553
null,null,26719,39237475,null,0,40,1000,1000,1,99918
null,null,24681,39325479,null,0,40,1000,0,0,100850
null,null,24207,39328221,null,0,40,1000,0,0,100249
null,null,23047,39364022,null,0,40,1000,1000,1,99843
null,null,14515,39368792,null,0,40,1000,0,0,99231
null,null,12905,39377343,null,0,40,1000,0,0,101157
null,null,19073,39427362,null,0,40,1,1000,1,100200
null,null,21655,39481996,null,0,40,1000,1000,1,99893
null,null,27587,39501723,null,0,40,1000,1000,1,98324
null,null,16855,39536631,null,0,40,1000,1000,1,98519
null,null,24174,39560098,null,0,40,1000,0,1,100726
null,null,14393,39563889,null,0,40,1000,0,0,100606
null,null,14386,39597375,null,0,40,1000,0,0,100279
null,null,10463,39633632,null,0,14,1000,1000,10,98426
null,null,24691,39701746,null,0,40,1000,0,0,100413
